concept	Badga	Betta_Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari_Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
I	n a	n aː ʋ ə	iː	n a nː a	n aː n u	n aː n ə	n eː n u	aː n	n a nː a	a eː n	n aː n u,m u	ɲ aː n	h eː n u	aː n	aː n	n aː n	n eː n u	oː n	j aː n u	n aː n
all	e lː a	oː ʈ ə j a	k u lː	b o tː i g	e lː a	e lː a	m aː k	e lː aː m	a n t aː,m o tː a m	m a j i n	h a r a	e lː a	g oː ʈ a h iː,g iː ʈ e n iː	n/a	n/a	e lː aː m	a n t a,m o tː a m u,a nː i	o ʋː o ɖ i m o	m aː t a	n a n g aː ɭ ə
ashes	k o l a b uː d i	p iː d i	h i s	n iː ɾ	b uː d i	b uː d i	b u gː i	p oː d u # a t u k ə	b uː ɖ i d a	tʃ i n d	n/a	tʃ aː m b a l,tʃ aː ɾ a m	n/a	n i ɖ	n iː d	s aː m b a l	b uː ɖ i d a	p uː d i	tʃ uː n j a,tʃ oː n j a	b uː d i
bark	p a ʈː e	m e ɾ t oː l ə	b u n d	t oː l	n aː r u,t o g a ʈ i	a ʈː e,tʃ e kː e	ɖ a n ɖ i # m a ɖː a	k o lː u tʃ o	b e ɾ a ɖ u,d a n ʈ i	oː ɖ a k	n/a	p a ʈː a,m a ɾ a tː o l i	n/a	n/a	n/a	p a ʈː e	p a ʈː a,b e ɾ a ɖ u	p u ʈ k o ɾ i	k e tː a	t oː l u
belly	o ʈː e	p o ʈː i	p e ɖʰ	p iː ɾ	h o ʈː e,h o ʈː a	p o ʈː e	ʈ e ʈː e	n a ɖ p eː ʈ g u	ɖ o kː a	k uː l	b a n ɖ i	ʋ a j a ɾ ə	p u ɖ aː	p u d u g	p o ʈː a	v a y i r̪ u,t o n t i,t o pː a i	p o ʈː a,k a ɖ u p u	p i ɾ	b a n dʒ i	b a i ɾ u,b aː ɾ ə
big	d o ɖː a d ə	d a pː u	b a lː u n	p e d d a	d o ɖː a d u	b a l j a d ə	n/a	t o ɖ u t	b e ɾ ɾ a	k o h a	b eː ɾ	ʋ a l u d ə	b eː ɖ o	m u ɾ e	b e r t o	p e ɾ i j a,p e r ə s ə	p e d d a	i tː uː ɖ ə	m a lː a	b a l e j i
bird	n/a	p i kː i	tʃ o k	p i ʈː ə	h a kː i,p a k ʂ i	p a k ʂ i	p i ʈː a	p a kː i g a ɭ	p i ʈː eː k u	o ɖ a	m i n u	p a k ʂ i,k i l i	p u dʒ u d u	t i t ə	n/a	p a ɾ a ʋ a i	p a k ʂ i,p i tː a	p a ɾ a ʋ a i	p a kː i	p a k tʃ i
bite	k a tːʃ ə	k a ɖ i	k a a t # k a nː i n g	k a s k	k a ɖ i +,k a tːʃ u	k a ɖ i	a t e k a ʂ i n	k a ɖ ə	k o ɾ a k a,k a tːʃ aː	kʰ a tːʃ n a	k a tʃ i n e	k a d i kː u g a	k oː h i	n/a	k o r k +	k a ɖ i	k o ɾ u k u	p a ɾ tʃ i ʈ tʃ i	t i n aː ɾ a	k a ɖ i
black	k a pː ə	k a ɾ t ə n u # i p ə d ə	m aː o n	k a ɾ ə	k a pː u,k a r u +	k a ɾ t a d ə	ɖ aː ɾ i a t e	k a ɾ u pː ə	k aː ʈ e,n a lː a	m o kʰ a ɾ o	k a d i a	k a ɾ u pː ə	m a ɖ h a ɾ o	n/a	n/a	k a ɾ ə pː ə	n a l u p u,n a lː a	k a pː ə	k a pː u	k a ɾ t a j i
blood	r a tː ə,n e tː u ɾ u	n ə tː ə ɾ ə	d i t a ɾ	n e tː u ɾ	ɾ a k t a	tʃ oː ɾ ə	n e tː u ɾ	n eː t u ɾ u	n e tː u ɾ	kʰ eː n s	n e tː i r	ɾ e k t a m,tʃ oː ɾ a	ɾ a s a d u	n e tː i ɾ	n e t i r	ɾ a tː a m	ɾ a k t a m u,n e tː u ɾ u	p oː kʰ ə	n e tː a r ə	tʃ oː ɾ e
